state_name,year,total_dbt_transfer,Sl. No.,state,flood_amount_raw,flood_amount,state_norm,dbt_change,flood_flag
haryana,2022,176413590036.0,,,,,,45.16288008938021,0
haryana,2023,26563660417.8,,,,,,-84.94239564402082,0
,2017,,9.0,himachal pradesh,51.37,51.37,himachal pradesh,,1
,2018,,9.0,himachal pradesh,65.9,65.9,himachal pradesh,,1
himachal pradesh,2019,1736900000.0,9.0,himachal pradesh,229.11,229.11,himachal pradesh,,1
himachal pradesh,2020,15968087335.369999,9.0,himachal pradesh,60.55,60.55,himachal pradesh,819.3440805671022,1
himachal pradesh,2021,29209337929.77,9.0,himachal pradesh,1127.47,1127.47,himachal pradesh,82.92321000192717,1
himachal pradesh,2022,29260672098.6,,,,,,0.1757457459440781,0
himachal pradesh,2023,3623091136.02,,,,,,-87.61788135347257,0
,2017,,34.0,jammu and kashmir,,,jammu and kashmir,,0
,2018,,34.0,jammu and kashmir,,,jammu and kashmir,,0
jammu and kashmir,2019,2527500000.0,34.0,jammu and kashmir,,,jammu and kashmir,,0
jammu and kashmir,2020,50440884443.5,34.0,jammu and kashmir,,,jammu and kashmir,1895.6828662116716,0
jammu and kashmir,2021,66911965655.0,34.0,jammu and kashmir,,,jammu and kashmir,32.654227603700406,0
jammu and kashmir,2022,62442401043.0,,,,,,-6.679768810028985,0
jammu and kashmir,2023,8493449314.32,,,,,,-86.39794567080929,0
,2017,,10.0,jharkhand,0.67,0.67,jharkhand,,1
,2018,,10.0,jharkhand,0.2,0.2,jharkhand,,1
jharkhand,2019,4584700000.0,10.0,jharkhand,13.25,13.25,jharkhand,,1
jharkhand,2020,123956646016.0,10.0,jharkhand,0.89,0.89,jharkhand,2603.7024454380876,1
jharkhand,2021,147378445241.0,10.0,jharkhand,1.49,1.49,jharkhand,18.895154054084994,1
jharkhand,2022,136679028381.0,,,,,,-7.2598247610115685,0
jharkhand,2023,19631315142.670002,,,,,,-85.6369222292489,0
,2017,,11.0,karnataka,,,karnataka,,0
,2018,,11.0,karnataka,4620.78,4620.78,karnataka,,1
karnataka,2019,9763800000.0,11.0,karnataka,,,karnataka,,0
karnataka,2020,263518413941.0,11.0,karnataka,9833.0,9833.0,karnataka,2598.932935342797,1
karnataka,2021,271720902944.0,11.0,karnataka,1975.81,1975.81,karnataka,3.1126815315595024,1
karnataka,2022,231460390873.0,,,,,,-14.816862315262302,0
karnataka,2023,54638697667.4,,,,,,-76.39393182508721,0
,2017,,12.0,kerala,,,kerala,,0
,2018,,12.0,kerala,3320.76,3320.76,kerala,,1
kerala,2019,7625800000.0,12.0,kerala,,,kerala,,0
kerala,2020,118401084594.0,12.0,kerala,,,kerala,1452.6382096829184,0
kerala,2021,139874078343.0,12.0,kerala,,,kerala,18.135808318506008,0
kerala,2022,144426494574.0,,,,,,3.254653245926331,0
kerala,2023,12924659471.6,,,,,,-91.05104675584452,0
,2017,,32.0,ladakh,,,ladakh,,0
,2018,,32.0,ladakh,,,ladakh,,0
,2019,,32.0,ladakh,,,ladakh,,0
ladakh,2020,980569041.2,32.0,ladakh,,,ladakh,,0
ladakh,2021,1358404579.5,32.0,ladakh,,,ladakh,38.532272835945605,0
ladakh,2022,1016948789.0,,,,,,-25.13653116700201,0
ladakh,2023,246697483.6,,,,,,-75.74140544062342,0
